Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	473029.0	2000	200	1.0	1.0
629744.0	317167.0	2000	200	5.0	0.001
629744.0	363037.0	2000	200	5.0	0.01
629744.0	350254.0	2000	200	5.0	0.1
629744.0	450939.0	2000	200	5.0	1.0
629744.0	340311.0	2000	200	25.0	0.001
629744.0	318449.0	2000	200	25.0	0.01
629744.0	337133.0	2000	200	25.0	0.1
629744.0	379656.0	2000	200	25.0	1.0
629744.0	356600.0	2000	200	125.0	0.001
629744.0	345974.0	2000	200	125.0	0.01
629744.0	337089.0	2000	200	125.0	0.1
629744.0	465368.0	2000	200	125.0	1.0
629744.0	324784.0	2000	300	1.0	0.001
629744.0	350239.0	2000	300	1.0	0.01
629744.0	341286.0	2000	300	1.0	0.1
629744.0	415820.0	2000	300	1.0	1.0
629744.0	482871.0	2000	300	5.0	0.001
629744.0	347492.0	2000	300	5.0	0.01
629744.0	333879.0	2000	300	5.0	0.1
629744.0	420442.0	2000	300	5.0	1.0
629744.0	341342.0	2000	300	25.0	0.001
629744.0	315301.0	2000	300	25.0	0.01
629744.0	342618.0	2000	300	25.0	0.1
629744.0	410391.0	2000	300	25.0	1.0
629744.0	358429.0	2000	300	125.0	0.001
629744.0	335442.0	2000	300	125.0	0.01
629744.0	389378.0	2000	300	125.0	0.1
629744.0	452191.0	2000	300	125.0	1.0
629744.0	311038.0	2000	400	1.0	0.001
629744.0	363473.0	2000	400	1.0	0.01
629744.0	324339.0	2000	400	1.0	0.1
629744.0	412639.0	2000	400	1.0	1.0
629744.0	387060.0	2000	400	5.0	0.001
629744.0	392842.0	2000	400	5.0	0.01
629744.0	330950.0	2000	400	5.0	0.1
629744.0	428558.0	2000	400	5.0	1.0
629744.0	336816.0	2000	400	25.0	0.001
629744.0	334275.0	2000	400	25.0	0.01
629744.0	339626.0	2000	400	25.0	0.1
629744.0	432570.0	2000	400	25.0	1.0
629744.0	340262.0	2000	400	125.0	0.001
629744.0	338060.0	2000	400	125.0	0.01
629744.0	304538.0	2000	400	125.0	0.1
629744.0	404392.0	2000	400	125.0	1.0
629744.0	364902.0	2000	500	1.0	0.001
629744.0	417683.0	2000	500	1.0	0.01
629744.0	379091.0	2000	500	1.0	0.1
629744.0	406744.0	2000	500	1.0	1.0
629744.0	322952.0	2000	500	5.0	0.001
629744.0	358477.0	2000	500	5.0	0.01
629744.0	348944.0	2000	500	5.0	0.1
629744.0	418349.0	2000	500	5.0	1.0
629744.0	349776.0	2000	500	25.0	0.001
629744.0	330108.0	2000	500	25.0	0.01
629744.0	349125.0	2000	500	25.0	0.1
629744.0	416167.0	2000	500	25.0	1.0
629744.0	326396.0	2000	500	125.0	0.001
629744.0	373489.0	2000	500	125.0	0.01
629744.0	349417.0	2000	500	125.0	0.1
629744.0	407996.0	2000	500	125.0	1.0
629744.0	370257.0	2000	600	1.0	0.001
629744.0	330588.0	2000	600	1.0	0.01
629744.0	335447.0	2000	600	1.0	0.1
629744.0	399938.0	2000	600	1.0	1.0
629744.0	317415.0	2000	600	5.0	0.001
629744.0	375832.0	2000	600	5.0	0.01
629744.0	396522.0	2000	600	5.0	0.1
629744.0	351050.0	2000	600	5.0	1.0
629744.0	319332.0	2000	600	25.0	0.001
629744.0	316889.0	2000	600	25.0	0.01
629744.0	330293.0	2000	600	25.0	0.1
629744.0	423467.0	2000	600	25.0	1.0
629744.0	330232.0	2000	600	125.0	0.001
629744.0	356337.0	2000	600	125.0	0.01
629744.0	305804.0	2000	600	125.0	0.1
629744.0	404650.0	2000	600	125.0	1.0
629744.0	353076.0	2000	700	1.0	0.001
629744.0	350067.0	2000	700	1.0	0.01
629744.0	332212.0	2000	700	1.0	0.1
629744.0	371345.0	2000	700	1.0	1.0
